药名,min,max,单位
细辛,1,3,g
罗布麻叶,6,12,g
罗汉果,9,15,g
肿节风,9,30,g
苘麻子,3,9,g
苦木,,,枝3～4.5g；叶 1～3g。外用适量。
苦地丁,,,内服煎汤，9～15g；外用适量，煎汤洗患处。
苦杏仁,4.5,9,g
苦豆子,,,内服，炒黑研末，每次5粒。外用适量，煎水洗；或用其干馏油制成软膏搽。
苦豆草,3,5,g
苦参,4.5,9,g
苦楝子,4.5,9,g
苦楝皮,4.5,9,g
虎耳草,9,15,g
虎杖,9,15,g
败酱草,9,15,g
贯叶金丝桃,2,3,g
郁李仁,6,9,g
郁金,3,9,g
金果榄,3,9,g
金沸草,4.5,9,g
金荞麦,15,45,g
金钱白花蛇,3,4.5,g
金钱草,15,60,g
金铁锁,0.1,0.3,g
金银花,6,15,g
金樱子,6,12,g
金樱根,5,15,g
金礞石,,,多入丸散服，3～6g；煎汤10～15g，布包先煎。
闹羊花,0.6,1.5,g
降  香,9,15,g
青风藤,6,12,g
青叶胆,10,15,g
青皮,3,9,g
青果,4.5,9,g
青葙子,9,15,g
青蒿,6,12,g
青黛,1.5,3,g
青礞石,,,多入丸散服，3～6g；煎汤10～15g，布包先煎。
鱼腥草,15,25,g
前胡,3,9,g
南五味子,1.5,6,g
南瓜子,,,研粉，60～120g。冷开水调服。
南沙参,9,15,g
南板蓝根,9,15,g
南寒水石,3,30,g
南鹤虱,3,9,g
厚朴,3,9,g
厚朴花,3,９,g
哈蟆油,5,15,g
姜皮,1.5,6,g
姜黄,3,9,g
威灵仙,6,9,g
急性子,3,4.5,g
扁豆衣,6,9,g
扁豆花,4.5,9,g
枳壳,3,9,g
枳实,3,9,g
枳椇子,4.5,9,g
枸杞子,6,12,g
枸骨叶,9,15,g
柏子仁,3,9,g
柿蒂,4.5,9,g
栀子,6,9,g
洋金花,0.3,0.6,g
炮姜,3,9,g
牵牛子,3,6,g
独一味,2,3,g
独活,3,9,g
珍珠,0.1,0.3,g
珍珠母,10,25,g
砂仁,3,6,g
砂仁壳,3,6,g
砒石,,,"外用适量，研末撒敷，宜作复方散剂或入膏药、药捻用。内服一次0．002～0.004g，入丸、散。
"
祖师麻,3,6,g
禹州漏芦,4.5,9,g
禹余粮,9,15,g
穿山甲,5,9,g
穿山龙,9,15,g
穿心莲,6,9,g
络石藤,6,12,g
绞股蓝,3,5,g
胆矾,0.3,0.6,g
胆南星,3,6,g
胖大海,2,3,枚
胡芦巴,4.5,9,g
胡黄连,1.5,9,g
胡椒,0.6,1.5,g
胡颓子叶,9,15,g
茜  草,6,9,g
茯苓,9,15,g
茯苓皮,15,30,g
茯神,9,15,g
茵陈,6,15,g
茺蔚子,4.5,9,g
荆芥,4.5,9,g
荆芥炭,5,10,g
荆芥穗,5,10,g
荆芥穗炭,5,10,g
草乌,,,一般炮制后用。
草乌叶,1,1.2,g
草豆蔻,3,6,g
草果,3,6,g
荔枝核,4.5,9,g
荜茇,1.5,3,g
荜澄茄,1.5,3,g
荠菜,9,15,g
虻虫,1.5,3,g
轻粉,,,外用适量，研末掺敷患处。内服每次0.1～0.2g，一日1～2次，多入丸剂或装胶囊服，服后漱口。
重楼,3,9,g
钟乳石,3,9,g
钩藤,3,12,g
韭菜子,3,9,g
首乌藤,9,15,g
香加皮,3,6,g
香附,6,9,g
香橼,3,9,g
香薷,3,9,g
骨碎补,3,9,g
鬼针草,15,30,g
鸦胆子,0.5,2,g
党参,9,30,g
凌霄花,5,9,g
夏天无,6,12,g
夏枯草,9,15,g
娑罗子,3,9,g
射干,3,9,g
徐长卿,3,12,g
拳参,4.5,9,g
柴胡,3,9,g
核桃仁,6,9,g
桂枝,3,9,g
桃仁,4.5,9,g
桃枝,9,15,g
桑叶,5,9,g
桑白皮,6,12,g
桑枝,9,15,g
桑寄生,9,15,g
桑椹,9,15,g
桑螵蛸,5,9,g
桔梗,3,9,g
浙贝母,4.5,9,g
浮小麦,6,12,g
浮海石,9,15,g
浮萍,3,9,g
海马,3,9,g
海风藤,6,12,g
海龙,3,9,g
海金沙,6,15,g
海金沙藤,9,15,g
海螵蛸,5,9,g
海藻,6,12,g
烈香杜鹃,9,15,g
珠子参,3,9,g
益母草,9,30,g
益智,3,9,g
秦皮,6,12,g
秦艽,3,9,g
积雪草,15,30,g
粉萆薢,9,15,g
粉葛,9,15,g
臭梧桐叶,9,15,g
荷叶,3,9,g
荷梗,3,9,g
莪术,6,9,g
莱菔子,4.5,9,g
莲子,6,15,g
莲子心,2,5,g
莲房,4.5,9,g
莲须,3,5,g
蚕蛾,1,6,g
通草,3,5,g
铅丹,0.9,1.5,g
预知子,3,9,g
高良姜,3,6,g
鸭跖草,15,30,g
商陆,3,9,g
密陀僧,,,外用适量，研末撒或调涂，或制成膏药、软膏、油剂等外用。内服入丸、散，0.2～0.5g。
密蒙花,3,9,g
常山,5,9,g
救必应,9,30,g
断血流,9,15,g
旋覆花,3,9,g
梅花,3,5,g
淡竹叶,6,9,g
淡豆豉,6,12,g
淫羊藿,3,9,g
猪牙皂,1,1.5,g
猪苓,6,12,g
猪胆粉,0.3,0.6,g
猫爪草,15,30,g
甜瓜子,9,30,g
甜瓜蒂,0.6,1.5,g
甜杏仁,4.5,9,g
续断,9,15,g
绵马贯众,4.5,9,g
绵马贯众炭,5,10,g
绵萆薢,9,15,g
绿豆,,,内服煎汤，15～30g；外用研末调敷。
绿豆衣,9,15,g
羚羊角,1,3,g
菊花,5,9,g
菊苣,9,18,g
菝葜,10,15,g
菟丝子,6,12,g
蛇床子,3,9,g
蛇蜕,2,3,g
野马追,30,60,g
野木瓜,9,15,g
野菊花,9,15,g
银杏叶,9,12,g
银柴胡,3,9,g
雪上一枝蒿,,,常用量，口服，一次0.025～0.05g。极量，一次0.07g。
鹿角,6,15,g
鹿角胶,3,6,g
鹿角霜,9,15,g
鹿茸,1,2,g
鹿衔草,9,15,g
麻黄,2,9,g
麻黄根,3,9,g
黄芩,3,9,g
黄芪,9,30,g
黄连,2,5,g
黄柏,3,12,g
黄荆子,6,9,g
黄药子,4.5,9,g
黄精,9,15,g
黄藤,30,60,g
斑蝥,0.03,0.06,g
景天三七,30,60,g
棕榈,3,9,g
楮实子,6,12,g
款冬花,5,9,g
湖北贝母,3,9,g
滑石,10,20,g
滑石粉,10,20,g
焦栀子,6,9,g
焦槟榔,3,9,g
番泻叶,2,6,g
硝石,1.5,3,g
硫黄,,,外用适量，研末油调涂敷患处。内服1.5～3g，炮制后入丸散服。
紫贝齿,9,15,g
紫石英,9,15,g
紫花地丁,15,30,g
紫苏子,3,9,g
紫苏叶,5,9,g
紫苏梗,5,9,g
紫河车,2,3,g
紫草,5,9,g
紫梢花,1.5,3,g
紫珠叶,3,15,g
紫菀,5,9,g
萹蓄,9,15,g
葎草,10,20,g
葛花,4.5,9,g
葛根,9,15,g
葫芦,15,30,g
葶苈子,3,9,g
蛤壳,6,15,g
蛤蚧,3,6,g
锁阳,5,9,g
隔山消,6,15,g
雄黄,0.05,0.1,g
鹅不食草,6,9,g
黑芝麻,9,15,g
黑豆,9,30,g
黑种草子,2,6,g
椿皮,6,9,g
槐  花,5,9,g
槐角,6,9,g
溪黄草,15,30,g
满山红,25,50,g
煅石膏,,,外用适量，研末撒敷患处。
矮地茶,15,30,g
硼砂,1.5,3,g
蒲  黄,5,9,g
蒲公英,9,15,g
蒺藜,6,9,g
蓍 草,15,45,g
蓖麻子,2,5,g
蜂房,3,5,g
蜂胶,0.2,0.6,g
蜂蜜,15,30,g
蜂蜡,,,外用适量，熔化敷患处；常作成药赋型剂及油膏基质。
蜈蚣,3,5,g
路路通,5,9,g
锦灯笼,5,9,g
零陵香,4.5,9,g
雷丸,15,21,g
雷公藤,1,3,g
榧子,9,15,g
槟榔,3,9,g
漏芦,5,9,g
磁石,9,30,g
罂粟壳,3,6,g
蓼大青叶,9,15,g
蔓荆子,5,9,g
蝉蜕,3,6,g
豨莶草,9,12,g
辣椒,0.9,2.4,g
酸枣仁,9,15,g
僵蚕,5,9,g
僵蛹,3,9,g
墨旱莲,6,12,g
暴马子皮,30,45,g
槲寄生,9,15,g
熟地黄,9,15,g
稻芽,9,15,g
缬草,3,4.5,g
蕤仁,5,9,g
蕲蛇,3,9,g
蝼蛄,3,4.5,g
赭石,9,30,g
鹤虱,3,9,g
鹤草芽,,,研粉吞服。成人30～45g，小儿0.7～0.8g/kg，每日一次，早晨空腹服用。
壁虎,3,6,g
橘叶,6,10,g
橘红,3,9,g
橘络,3,5,g
橘核,3,9,g
薄荷,3,6,g
薏苡仁,9,30,g
薤白,5,9,g
檀香,2,5,g
爵床,9,30,g
藁本,3,9,g
藏菖蒲,,,nan
蟋蟀,0.3,0.5,g
瞿麦,9,15,g
翻白草,9,15,g
藕  节,9,15,g
覆盆子,6,12,g
蟾皮,3,6,g
蟾酥,0.015,0.03,g
鳖甲,9,24,g
糯稻根,30,60,g
麝　香,,,"0.03～0．1g,多入丸散用。外用适量。 "
